dt_mesano|total
2003-01-01|46923205.799999975
2003-02-01|31463697.810000006
2003-03-01|34147830.15
2003-04-01|29138516.649999995
2003-05-01|38139457.19000002
2003-06-01|35425200.97000001
2003-07-01|33442172.520000007
2003-08-01|33643001.60999999
2003-09-01|35340523.72
2003-10-01|35277760.66999999
2003-11-01|35475823.26999999
2003-12-01|38531876.550000004
2004-01-01|52321141.580000006
2004-02-01|36088327.510000005
2004-03-01|43129036.88
2004-04-01|36236739.870000005
2004-05-01|40032772.480000004
2004-06-01|42569624.37
2004-07-01|38862695.91
2004-08-01|41541743.809999995
2004-09-01|43464755.27
2004-10-01|38121332.59
2004-11-01|41554404.870000005
2004-12-01|77027613.89
2005-01-01|57244147.089999996
2005-02-01|49733849.809999995
2005-03-01|54864804.93
2005-04-01|46687061.94
2005-05-01|53372807.43000001
2005-06-01|51506593.73
2005-07-01|47617242.25000001
2005-08-01|51160362.91
2005-09-01|46478089.69
2005-10-01|47807129.989999995
2005-11-01|60501236.51
2005-12-01|72402880.10999998
2006-01-01|69681297.84999996
2006-02-01|52909844.82999999
2006-03-01|53898956.60999999
2006-04-01|51261064.23999999
2006-05-01|62244478.03
2006-06-01|62555301.04000001
2006-07-01|50795147.87
2006-08-01|56418584.18
2006-09-01|53132147.68999999
2006-10-01|60025141.50999999
2006-11-01|60408789.64999999
2006-12-01|78783270.63000001
2007-01-01|67948447.2
2007-02-01|57489951.99
2007-03-01|65749697.3
2007-04-01|49829249.81
2007-05-01|58946747.84000001
2007-06-01|95825635.53
2007-07-01|62918149.23
2007-08-01|62807521.08
2007-09-01|61133939.75999998
2007-10-01|68573458.47999999
2007-11-01|70861348.82999998
2007-12-01|90022529.66999999
2008-01-01|73353056.05
2008-02-01|72719331.64999999
2008-03-01|55231344.24000001
2008-04-01|60332322.430000015
2008-05-01|64437112.39
2008-06-01|54231284.64999999
2008-07-01|60491485.629999995
2008-08-01|70758859.22999999
2008-09-01|67280277.14999999
2008-10-01|54003648.82
2008-11-01|67008677.34
2008-12-01|76177380.13000001
2009-01-01|61680326.75999999
2009-02-01|76521160.66000001
2009-03-01|62275610.559999995
2009-04-01|82918942.63
2009-05-01|72417019.52999997
2009-06-01|71152863.36999999
2009-07-01|65675693.569999985
2009-08-01|57631964.279999994
2009-09-01|59602067.68
2009-10-01|62360232.98999999
2009-11-01|73583842.47999999
2009-12-01|105555037.67
2010-01-01|68597963.25
2010-02-01|82540218.23
2010-03-01|74765986.18
2010-04-01|72121115.32
2010-05-01|72916911.85000001
2010-06-01|83038898.78000003
2010-07-01|66251225.24999998
2010-08-01|86406372.93
2010-09-01|74956606.34
2010-10-01|68389543.57000002
2010-11-01|78295825.85000002
2010-12-01|99068985.82
2011-01-01|85294440.97999999
2011-02-01|104926863.67000002
2011-03-01|99488929.17
2011-04-01|82119779.16000001
2011-05-01|97442572.44999999
2011-06-01|100018664.63000001
2011-07-01|80730160.44
2011-08-01|91581249.47000003
2011-09-01|80494418.14000003
2011-10-01|75916816.55999999
2011-11-01|98605761.82999997
2011-12-01|116026881.90000002
2012-01-01|95957939.53000003
2012-02-01|128863387.08999997
2012-03-01|90226899.39
2012-04-01|92643161.02000004
2012-05-01|105430360.25000001
2012-06-01|96960420.51
2012-07-01|90258104.16000001
2012-08-01|89392852.19999999
2012-09-01|86604341.11000001
2012-10-01|94384087.48000002
2012-11-01|102901087.92999999
2012-12-01|125036968.76999998
2013-01-01|103115908.03999999
2013-02-01|131145395.46000001
2013-03-01|96260533.6
2013-04-01|101116581.96
2013-05-01|133640284.41999999
2013-06-01|98839396.87000002
2013-07-01|111057972.62999997
2013-08-01|101645315.99000001
2013-09-01|91032792.44000001
2013-10-01|97827286.63000001
2013-11-01|116779516.57000001
2013-12-01|156323607.98
2014-01-01|137329730.22
2014-02-01|126471900.52999999
2014-03-01|133161334.96000001
2014-04-01|126176633.25999999
2014-05-01|130451097.58999997
2014-06-01|121309369.83
2014-07-01|109831350.05000001
2014-08-01|115259026.48
2014-09-01|110488259.54999998
2014-10-01|107796433.74
2014-11-01|117357239.68999998
2014-12-01|229477921.05
2015-01-01|132748951.66999997
2015-02-01|125522831.98999998
2015-03-01|144590624.76999998
2015-04-01|160226318.67000002
2015-05-01|137641764.81000003
2015-06-01|122198958.60000001
2015-07-01|115190500.02999999
2015-08-01|104856906.94
2015-09-01|123789751.72999996
2015-10-01|112384688.02
2015-11-01|107551972.2
2015-12-01|171418058.65000007
2016-01-01|133181882.54
2016-02-01|136630273.04
2016-03-01|162025904.48
2016-04-01|117491047.70999998
2016-05-01|156214826.68999997
2016-06-01|128561253.73000003
2016-07-01|129513291.25
2016-08-01|127203715.44999999
2016-09-01|110533044.11999999
2016-10-01|123230280.42000002
2016-11-01|165102474.04
2016-12-01|199284777.79999995
2017-01-01|126882218.36000001
2017-02-01|131931385.46
2017-03-01|169423559.6
2017-04-01|123160750.38999999
2017-05-01|160421352.74000007
2017-06-01|132283787.06999996
2017-07-01|119941067.85999995
2017-08-01|133929315.91000004
2017-09-01|118309471.77000001
2017-10-01|124169004.27000001
2017-11-01|121257599.56999998
2017-12-01|150217320.81999993
2018-01-01|141816434.48
2018-02-01|142527605.99000004
2018-03-01|139489360.8
2018-04-01|165328331.61000007
2018-05-01|157732505.78999996
2018-06-01|137179911.41
2018-07-01|139917168.26999998
2018-08-01|135466621.89000005
2018-09-01|124869074.50999999
2018-10-01|143341358.29999995
2018-11-01|141655511.23999998
2018-12-01|217783839.04
2019-01-01|170196230.28
2019-02-01|166592462.51
2019-03-01|193929004.67999998
2019-04-01|153235519.75
2019-05-01|160011243.74000004
2019-06-01|132172725.0
2019-07-01|166969076.71
